iter	Passed	Remaining
0	147	44098
1	147	22034
2	148	14678
3	148	10992
4	148	8785
5	149	7329
6	149	6276
7	150	5486
8	150	4872
9	151	4381
10	151	3978
11	151	3643
12	152	3358
13	152	3117
14	152	2906
15	153	2721
16	153	2558
17	154	2413
18	154	2283
19	154	2166
20	155	2061
21	155	1962
22	155	1875
23	156	1795
24	156	1721
25	156	1653
26	157	1591
27	157	1531
28	158	1476
29	158	1426
30	158	1378
31	159	1334
32	159	1292
33	160	1253
34	160	1216
35	161	1181
36	161	1147
37	161	1116
38	162	1085
39	162	1057
40	162	1029
41	163	1003
42	163	978
43	164	954
44	164	932
45	164	910
46	165	889
47	165	869
48	165	850
49	166	831
50	166	813
51	167	796
52	167	780
53	167	764
54	168	749
55	169	736
56	169	723
57	170	710
58	171	699
59	173	692
60	173	679
61	174	668
62	174	657
63	175	646
64	175	635
65	176	624
66	176	614
67	176	603
68	177	593
69	177	584
70	178	574
71	178	565
72	179	556
73	179	548
74	179	539
75	180	531
76	180	523
77	181	515
78	181	508
79	182	501
80	182	493
81	183	486
82	183	479
83	183	473
84	184	466
85	185	460
86	185	454
87	185	447
88	186	441
89	186	435
90	187	429
91	187	424
92	188	419
93	188	413
94	189	408
95	189	403
96	190	398
97	190	393
98	191	387
99	191	382
100	191	377
101	192	373
102	192	368
103	193	364
104	193	359
105	194	355
106	194	350
107	194	346
108	195	342
109	195	338
110	196	334
111	196	330
112	197	326
113	197	322
114	198	318
115	198	314
116	198	311
117	199	307
118	199	303
119	200	300
120	200	296
121	201	293
122	201	289
123	201	286
124	202	283
125	202	280
126	203	277
127	203	274
128	204	270
129	204	267
130	205	264
131	205	261
132	205	258
133	206	255
134	206	252
135	207	249
136	207	247
137	208	244
138	208	241
139	209	239
140	209	236
141	210	233
142	210	231
143	210	228
144	212	227
145	213	225
146	214	222
147	214	220
148	215	218
149	216	216
150	216	213
151	217	211
152	217	209
153	218	207
154	218	204
155	219	202
156	220	200
157	222	199
158	223	198
159	224	196
160	225	194
161	225	192
162	226	189
163	226	187
164	227	185
165	227	183
166	228	181
167	228	179
168	229	177
169	229	175
170	230	173
171	230	171
172	231	169
173	232	168
174	232	166
175	233	164
176	233	162
177	233	160
178	234	158
179	234	156
180	235	154
181	235	152
182	236	150
183	236	149
184	237	147
185	237	145
186	238	143
187	238	142
188	239	140
189	239	138
190	239	136
191	240	135
192	240	133
193	241	131
194	242	130
195	242	128
196	243	127
197	244	125
198	244	124
199	245	122
200	245	121
201	246	119
202	247	118
203	247	116
204	248	115
205	248	113
206	249	111
207	249	110
208	250	108
209	250	107
210	251	105
211	251	104
212	252	103
213	252	101
214	253	100
215	253	98
216	254	97
217	254	95
218	255	94
219	255	92
220	256	91
221	256	90
222	256	88
223	257	87
224	257	85
225	258	84
226	258	83
227	259	81
228	259	80
229	260	79
230	260	77
231	261	76
232	261	75
233	262	74
234	262	72
235	263	71
236	263	70
237	264	68
238	264	67
239	265	66
240	265	65
241	266	63
242	266	62
243	266	61
244	267	60
245	267	58
246	268	57
247	268	56
248	269	55
249	269	53
250	270	52
251	270	51
252	271	50
253	271	49
254	272	48
255	272	46
256	273	45
257	273	44
258	273	43
259	274	42
260	274	41
261	275	39
262	275	38
263	276	37
264	276	36
265	277	35
266	277	34
267	277	33
268	278	32
269	278	30
270	279	29
271	279	28
272	280	27
273	280	26
274	281	25
275	281	24
276	282	23
277	283	22
278	284	21
279	284	20
280	285	19
281	286	18
282	287	17
283	287	16
284	288	15
285	288	14
286	289	13
287	290	12
288	290	11
289	291	10
290	291	9
291	292	8
292	292	6
293	293	5
294	293	4
295	294	3
296	294	2
297	295	1
298	295	0
299	296	0
