Article	ProductName	ProductGroup	ProductType	ProductProperties	Date	Sold	Stock	
ANIKT0-000011	Подарочный набор Niktea Красная Поляна с зеленой керамической кружкой	Чай	Набор	{"Вид":"Deli Pack","Регион":"Россия","Тип":"Набор","Марка":"NIKTEA","Код производителя":"NM011","Вкус":"Цветочный","Ароматизированный":"Нет"}	01.07.2025	0	0	
ANIKT0-000013	Подарочный набор Niktea Ассорти Брайт с белой керамической кружкой	Чай	Набор	{"Вид":"Deli Pack","Регион":"Россия","Тип":"Набор","Марка":"NIKTEA","Код производителя":"NM013","Вкус":"Микс","Ароматизированный":"Нет"}	01.07.2025	0	5	
ANIKT0-000017	Подарочный набор Niktea Ассорти Брайт + Молочный Улун с белой керамической кружкой	Чай	Набор	{"Вид":"Deli Pack","Регион":"Россия","Тип":"Набор","Марка":"NIKTEA","Код производителя":"NM017","Вкус":"Микс","Ароматизированный":"Нет"}	01.07.2025	0	1	
ANIKT0-000023	Новогодний подарочный набор красный NIKTEA Ассорти Брайт с керамической кружкой	Чай	Набор	{"Вид":"Deli Pack","Регион":"Россия","Тип":"Набор","Марка":"NIKTEA","Код производителя":"NM023","Вкус":"Микс","Ароматизированный":"Нет"}	01.07.2025	0	1	
GDRIVE-L000001	GD10 Черный чай цейлонский, 20х2г (ПП)	Чай	Черный	{"Вид":"Pyra Pack","Регион":"Россия","Тип":"Черный","Марка":"G-Drive","Код производителя":"GD10","Вкус":"Чай","Ароматизированный":"Нет"}	01.07.2025	0	11002	
GDRIVE-L000002	GD20 Черный чай с бергамотом, 20х2г (ПП)	Чай	Черный	{"Вид":"Pyra Pack","Регион":"Россия","Тип":"Черный","Марка":"G-Drive","Код производителя":"GD10","Вкус":"Бергамот","Ароматизированный":"Нет"}	01.07.2025	0	9502	
GDRIVE-L000003	GD30 Черный чай с чабрецом, 20х2г (ПП)	Чай	Черный	{"Вид":"Pyra Pack","Регион":"Россия","Тип":"Черный","Марка":"G-Drive","Код производителя":"GD10","Вкус":"Чабрец","Ароматизированный":"Нет"}	01.07.2025	0	9046	
GDRIVE-L000004	GD40 Зеленый чай, 20х2г (ПП)	Чай	Зеленый	{"Вид":"Pyra Pack","Регион":"Россия","Тип":"Зеленый","Марка":"G-Drive","Код производителя":"GD10","Вкус":"Зеленый чай","Ароматизированный":"Нет"}	01.07.2025	0	6442	
TALTHA-BP0026	ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)	Чай	Зеленый	{"Вид":"Deli Pack","Регион":"Китай","Тип":"Зеленый","Марка":"NIKTEA","Код производителя":"N003","Вкус":"Натуральный","Ароматизированный":"Нет"}	01.07.2025	68	5996	
TALTHA-BP0027	ЧН004 NEW Жасмин Ориентал, 25х1,75г (ДП)	Чай	Зеленый	{"Вид":"Deli Pack","Регион":"Китай","Тип":"Зеленый","Марка":"NIKTEA","Код производителя":"N004","Вкус":"Жасмин","Ароматизированный":"Да"}	01.07.2025	71	1226	
TALTHA-BP0028	ЧН005 NEW Краснополянский Сбор, 25х1,5г (ДП)	Чай	Зеленый	{"Вид":"Deli Pack","Регион":"Россия","Тип":"Зеленый","Марка":"NIKTEA","Код производителя":"N005","Вкус":"Цветочный","Ароматизированный":"Нет"}	01.07.2025	64	1686	
