Департамент,Артикул,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07-forecast_lower,2025-07-forecast_mean,2025-07-forecast_upper,2025-08-forecast_lower,2025-08-forecast_mean,2025-08-forecast_upper,2025-09-forecast_lower,2025-09-forecast_mean,2025-09-forecast_upper,2025-10-forecast_lower,2025-10-forecast_mean,2025-10-forecast_upper,last_123_days_sum,forecast_123_days_mean,forecast_123_days_lower,forecast_123_days_upper
АТ Москва,ANIKT0-000010,0,0,7,20,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,2,0,0,0,0,0,15,307,0,0,291,0,21,302,0,69,360,2,105,0,1260
АТ Москва,ANIKT0-000011,0,3,24,20,0,44,0,50,30,0,0,0,2,0,20,0,20,0,0,2,0,0,0,0,0,15,536,0,0,521,0,21,524,0,69,589,2,105,0,2170
АТ Москва,ANIKT0-000013,0,3,19,35,0,2,0,50,41,0,0,0,2,5,20,0,20,0,5,2,0,0,0,0,0,3,242,0,27,266,0,9,240,0,7,246,2,46,0,995
АТ Москва,ANIKT0-000017,0,0,7,20,0,20,0,40,20,0,0,0,2,10,15,0,15,0,0,0,0,0,0,0,0,91,787,0,0,676,0,0,668,0,447,1143,0,512,0,3274
АТ Москва,ANIKT0-000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,ANIKT0-000023,0,0,10,60,0,45,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,15,528,0,0,513,0,21,517,0,69,581,0,105,0,2139
АТ Москва,ANIKT0-000024,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,144,0,31,189,0,9,162,0,0,151,0,21,0,646
АТ Москва,ANIKT0-000030,0,0,22,25,0,24,0,40,10,0,0,0,0,10,15,0,15,0,0,0,0,0,0,0,0,15,711,0,0,696,0,21,694,0,69,765,0,105,0,2867
АТ Москва,ANIKT0-000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CAFBOR-000001,0,6,0,0,1,0,0,12,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,246,0,1,234,0,21,247,0,57,290,0,94,0,1016
АТ Москва,CAFBOR-000002,0,0,0,0,21,108,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,685,0,1,670,0,21,668,0,66,735,0,104,0,2758
АТ Москва,CAFBOR-000009,0,0,0,0,0,13,15,17,75,77,40,184,131,168,141,292,309,858,318,361,518,577,413,492,0,705,2105,0,599,1998,0,844,2198,0,647,2046,2108,2795,0,8348
АТ Москва,CBNM00-000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CDNSB0-P00024,194,187,107,268,137,0,0,0,0,0,0,0,30,135,7,0,0,0,0,0,0,0,0,0,0,15,573,0,0,557,0,18,558,0,64,623,0,95,0,2312
АТ Москва,CDNSB0-P00025,69,14,95,93,5,1,0,0,0,0,0,0,26,104,11,1,0,0,0,0,0,0,0,0,0,15,559,0,0,543,0,18,544,0,65,609,0,96,0,2255
АТ Москва,CDNSB0-P00026,125,73,126,109,98,145,0,9,0,0,0,0,26,143,40,0,0,0,0,0,0,0,0,0,0,16,396,0,0,380,0,18,386,0,62,442,0,97,0,1603
АТ Москва,CDNSB0-P00027,35,24,21,21,32,6,0,0,0,0,0,0,4,25,7,2,0,24,0,0,0,0,0,0,0,15,537,0,0,521,0,19,524,0,66,588,0,100,0,2170
АТ Москва,CDNSB0-P00033,29,8,40,24,7,72,0,36,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,535,0,0,519,0,19,522,0,66,586,0,99,0,2163
