Department,Article,ProductName,ProductGroup,ProductType,ProductProperties,timestamp,target,segment
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-01,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-02,46,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-03,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-04,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-05,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-06,10,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-07,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-08,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-09,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-10,72,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-11,18,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-12,43,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-13,38,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-14,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-15,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-16,8,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-17,78,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-18,39,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-19,61,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-20,16,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-01-21,20,АТ Москва|TALTHA-BP0026
