ProductType,ProductName,target,timestamp,segment
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),2581,2023-08,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1984,2023-09,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),2400,2023-10,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),2349,2023-11,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),5064,2023-12,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1113,2024-01,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1604,2024-02,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1866,2024-03,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1445,2024-04,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1411,2024-05,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1283,2024-06,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),2305,2024-07,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1699,2024-08,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1760,2024-09,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),2514,2024-10,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1577,2024-11,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),3340,2024-12,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1239,2025-01,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),998,2025-02,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1316,2025-03,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1705,2025-04,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1751,2025-05,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1661,2025-06,TALTHA-BP0026
Чай,ЧН003 NEW Грин Фьюжн 25х175г (ДП),1834,2025-07,TALTHA-BP0026
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),533,2023-08,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),848,2023-09,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),851,2023-10,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),879,2023-11,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),639,2023-12,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),291,2024-01,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),409,2024-02,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),524,2024-03,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),259,2024-04,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),275,2024-05,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),279,2024-06,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),516,2024-07,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),351,2024-08,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),560,2024-09,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),300,2024-10,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),467,2024-11,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),577,2024-12,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),316,2025-01,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),241,2025-02,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),299,2025-03,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),247,2025-04,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),273,2025-05,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),236,2025-06,TALTHA-BP0027
Чай,ЧН004 NEW Жасмин Ориентал 25х175г (ДП),316,2025-07,TALTHA-BP0027
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),659,2023-08,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),438,2023-09,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),1109,2023-10,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),949,2023-11,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),914,2023-12,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),590,2024-01,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),989,2024-02,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),574,2024-03,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),691,2024-04,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),902,2024-05,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),336,2024-06,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),702,2024-07,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),609,2024-08,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),868,2024-09,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),1131,2024-10,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),937,2024-11,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),1075,2024-12,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),764,2025-01,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),851,2025-02,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),716,2025-03,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),490,2025-04,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),647,2025-05,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),485,2025-06,TALTHA-BP0028
Чай,ЧН005 NEW Краснополянский Сбор 25х15г (ДП),465,2025-07,TALTHA-BP0028
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),836,2023-08,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),902,2023-09,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),1221,2023-10,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),1662,2023-11,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),1244,2023-12,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),608,2024-01,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),846,2024-02,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),692,2024-03,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),657,2024-04,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),923,2024-05,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),452,2024-06,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),691,2024-07,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),507,2024-08,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),789,2024-09,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),873,2024-10,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),884,2024-11,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),985,2024-12,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),561,2025-01,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),876,2025-02,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),680,2025-03,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),686,2025-04,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),542,2025-05,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),598,2025-06,TALTHA-BP0029
Чай,ЧН008 NEW Молочный Улун 25х175г (ДП),533,2025-07,TALTHA-BP0029
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),100,2023-08,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),122,2023-09,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),227,2023-10,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),129,2023-11,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),214,2023-12,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),136,2024-01,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),91,2024-02,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),140,2024-03,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),118,2024-04,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),133,2024-05,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),175,2024-06,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),152,2024-07,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),126,2024-08,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),96,2024-09,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),167,2024-10,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),109,2024-11,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),256,2024-12,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),75,2025-01,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),91,2025-02,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),102,2025-03,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),197,2025-04,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),132,2025-05,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),156,2025-06,TALTHA-BP0030
Чай,ЧН003-500 NEW Грин Фьюжн 500х175г (ДП),172,2025-07,TALTHA-BP0030
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),21,2023-08,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),24,2023-09,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),56,2023-10,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),8,2023-11,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),56,2023-12,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),64,2024-01,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),24,2024-02,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),98,2024-03,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),50,2024-04,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),20,2024-05,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),53,2024-06,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),53,2024-07,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),46,2024-08,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),38,2024-09,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),47,2024-10,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),73,2024-11,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),96,2024-12,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),30,2025-01,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),46,2025-02,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),75,2025-03,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),103,2025-04,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),83,2025-05,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),72,2025-06,TALTHA-BP0031
Чай,ЧН005-500 NEW Краснополянский Сбор 500х15г (ДП),92,2025-07,TALTHA-BP0031
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),307,2023-08,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),673,2023-09,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),874,2023-10,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),857,2023-11,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),1146,2023-12,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),505,2024-01,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),896,2024-02,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),754,2024-03,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),519,2024-04,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),410,2024-05,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),418,2024-06,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),803,2024-07,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),490,2024-08,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),525,2024-09,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),744,2024-10,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),441,2024-11,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),1399,2024-12,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),649,2025-01,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),482,2025-02,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),233,2025-03,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),248,2025-04,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),241,2025-05,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),388,2025-06,TALTHA-BP0034
Чай,ЧН006 NEW Клубничный Десерт 25х2г (ДП),544,2025-07,TALTHA-BP0034
Чай,ЧН009 Английский Завтрак 25х175г (ДП),5047,2023-08,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),6489,2023-09,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),6660,2023-10,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),5606,2023-11,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),9808,2023-12,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4455,2024-01,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),2243,2024-02,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),7024,2024-03,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4577,2024-04,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),3909,2024-05,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4094,2024-06,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4032,2024-07,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4518,2024-08,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4641,2024-09,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),7312,2024-10,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4546,2024-11,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),8407,2024-12,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4745,2025-01,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),3982,2025-02,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4083,2025-03,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4859,2025-04,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),3991,2025-05,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),4129,2025-06,TALTHA-BP0082
Чай,ЧН009 Английский Завтрак 25х175г (ДП),3458,2025-07,TALTHA-BP0082
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),0,2023-08,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),0,2023-09,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),0,2023-10,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),9,2023-11,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),41,2023-12,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),49,2024-01,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),8,2024-02,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),1,2024-03,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),21,2024-04,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),16,2024-05,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),20,2024-06,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),11,2024-07,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),37,2024-08,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),22,2024-09,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),38,2024-10,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),23,2024-11,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),23,2024-12,TALTHA-BP0083
Чай,ЧН008-500 NEW Молочный Улун 500х175г (ДП),23,2025-01,TALTHA-BP0083
