Код товара,Номенклатура / Сеть,Группа,Марка,Тип товара,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Март 2024,Апрель 2024,Май 2024,Июнь 2024,Июль 2024,Август 2024,Сентябрь 2024,Октябрь 2024,Ноябрь 2024
AALTH0-000004,"АА9201 Чайник Althaus, 400 мл",Посуда,ALTHAUS,Чайная,38,131,89,96,161,62,28,67,181,106,118,211,26,77,28,41,21,32,10,1,17,34,117
AALTH0-000005,АА9204 Фильтр-ситечко Althaus,Посуда,ALTHAUS,Чайная,15,82,21,18,31,12,12,18,21,26,30,6,0,30,13,13,2,0,15,0,7,10,20
AALTH0-000006,"АА9202 Чайная пара Althaus, 200 мл",Посуда,ALTHAUS,Чайная,0,0,0,194,228,126,78,98,72,166,152,60,6,136,87,170,60,48,24,0,39,48,58
AALTH0-000014,АА9320 Бокал стеклянный Althaus,Посуда,ALTHAUS,Чайная,6,0,0,0,30,0,18,12,0,0,18,12,12,12,0,7,18,0,0,12,24,0,0
AALTH0-000016,"АА9005 Банка Althaus жестяная маленькая, 250г",Аксессуары,ALTHAUS,Стенды,57,27,130,67,0,74,64,51,34,2,42,25,1,24,21,31,21,0,122,94,86,114,5
ALAVA0-000004,арт.20002141 Блюдце для чашки американо Lavazza Blu collection,Посуда,LAVAZZA,Кофейная,0,12,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ALAVA0-000006,арт.20002131 Чашка капучино Lavazza Blu collection,Посуда,LAVAZZA,Кофейная,18,90,24,42,60,54,18,18,12,12,30,60,0,0,0,12,18,36,0,0,0,0,0
ALAVA0-000014,арт.20002124 Чашка эспрессо Lavazza Blu collection,Посуда,LAVAZZA,Кофейная,72,84,36,24,24,36,6,0,0,12,0,6,0,0,0,0,12,12,0,0,0,0,0
AMLT00-000007,ОДНОРАЗ. ФИЛЬТР-ЧАШ 250ШТ NOVO,Аксессуары,BRAVILOR,Одноразовые,8,17,10,14,14,15,16,9,4,23,9,10,12,19,8,30,2,11,10,14,36,16,21
ANDSHR-000001,435944 Neodisher Alka 500 (1л) для капучинатора,Чистящее средство,NEODISHER,Молочная система,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,44,58,55,47,45,32,64
ANDSHR-000002,326583 Neodisher CM tabs (бан 200шт) Таблетки для суперавтоматов,Чистящее средство,NEODISHER,Кофейная система,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,89,61,50,44,18,38,41
ANDSHR-000003,350882 Neodisher CM special (1кг) Порошок для удаления накипи,Чистящее средство,NEODISHER,Гидросистема,0,0,0,1,0,0,0,0,0,0,5,3,9,22,24,51,43,45,65,55,25,34,51
ANDSHR-000008,"ANDSHR-000008 3323324000 ТАБЛЕТКИ ДЛЯ ПРОЧИСТКИ WMF1,3G",Чистящее средство,WMF,Кофейная система,225,163,277,183,244,260,283,211,263,300,571,946,641,535,779,603,346,1178,676,385,282,354,1096
ANDSHR-000009,350782 Neodisher CM P (банка 1кг) для классич кофемашин,Чистящее средство,NEODISHER,Кофейная система,47,66,65,45,1,1,0,0,0,0,25,26,20,50,30,49,37,39,50,52,52,45,49
ANDSHR-000025,ANDSHR-000025 3306836000 WMF ср-во очистки молочной системы 1 литр,Чистящее средство,WMF,Молочная система,124,89,277,133,99,135,161,88,41,195,223,226,224,183,143,128,166,135,251,176,145,201,326
ANDSHR-000027,ANDSHR-000027 3326220000 ТАБЛЕТКИ WMF МОЛОЧНОЙ СИСТ 10 ГР,Чистящее средство,WMF,Молочная система,46,32,105,102,57,99,76,103,96,82,329,789,459,379,575,512,344,1037,604,464,240,235,1042
ANIKT0-000001,"АН9250 Чайник Niktea, 450 мл",Посуда,NIKTEA,Чайная,0,0,0,20,31,20,38,9,43,48,44,94,0,35,33,6,23,18,18,14,49,18,43
ANIKT0-000002,"АН9251 Чайная пара Niktea, 150 мл",Посуда,NIKTEA,Чайная,80,198,168,72,92,134,102,78,71,108,182,138,72,54,48,72,30,30,42,72,78,105,144
ANIKT0-000003,АН9252 Фильтр-ситечко Niktea,Посуда,NIKTEA,Чайная,0,1,6,0,10,14,12,0,17,10,16,36,0,0,12,0,0,0,0,0,10,18,24
AST000-000004,"СТАКАН ""HUHTAMAKI"" 200МЛ SP9",Посуда,HUHTAMAKI,Одноразовая,2550,2950,4450,2950,1950,5300,5200,3800,1713,4950,2800,3050,4000,3450,3900,2350,2300,2200,14200,1400,3650,2300,5500
AST000-000005,"СТАКАН ""HUHTAMAKI""300МЛ  SP12",Посуда,HUHTAMAKI,Одноразовая,2100,4900,4350,4700,2750,9150,5700,5550,7750,3400,4350,3650,3950,1500,4800,1000,1200,1300,1000,1000,3150,1000,950
AST000-000009,"КРЫШКА ""HUHTAMAKI"" TL80 для стаканов 200млSP9",Посуда,HUHTAMAKI,Одноразовая,2700,3800,2900,3800,1100,4700,3600,3300,1507,4000,2300,1800,3100,2200,800,0,2100,1700,11300,1500,1600,1400,4900
AST000-000010,ДЕРЖАТЕЛЬ ДЛЯ 2 СТАКАНОВ HUHTA,Посуда,HUHTAMAKI,Одноразовая,0,150,0,300,450,450,150,0,150,150,0,300,300,0,150,150,0,0,150,0,0,0,0
AST000-000013,"СТАКАН ""HUHTAMAKI"" 400МЛ SP16",Посуда,HUHTAMAKI,Одноразовая,900,900,2400,650,900,350,0,450,700,500,850,700,1050,950,700,400,2385,765,450,900,1620,1485,2880
AST000-000041,"Стакан бумажный Impassion, 350 мл",Посуда,IMPASSION,Одноразовая,0,0,0,0,0,5400,2675,3925,325,1700,400,0,0,900,475,600,1000,900,550,1325,500,975,5500
AST000-000048,"5050 Коф.пара Impassion эспрессо, красная, 80 мл",Посуда,IMPASSION,Кофейная,42,48,60,108,48,24,110,84,66,34,73,60,12,36,30,30,12,28,12,12,12,6,24
ASWSH0-000001,Помпа-дозатор для сиропов SweetShot,Аксессуары,SweetShot,Барные,62,77,48,13,66,33,30,19,5,14,19,29,13,12,0,5,0,31,30,23,10,31,10
CAFBOR-000009,"Кофе Импэшн Интенсо, зерно, 1 кг",Кофе,IMPASSION,Зерновой,0,0,0,0,0,0,0,0,0,0,0,13,15,17,75,77,40,184,131,168,141,292,309
CCHCLD-000005,"Горячий шоколад Кокая Классик Браун, 1 кг",Шоколад Горячий,DARBOVEN,Молотый,1983,2427,2972,2992,2683,1972,1704,2595,3560,3623,3628,4137,2595,1901,1083,4099,2738,1691,1779,2924,2720,3034,1899
CIMPCH-000058,"Кофе Импэшн Венеция, зерно, 1 кг",Кофе,IMPASSION,Зерновой,442,702,790,877,775,354,734,1223,850,613,782,934,392,659,707,747,806,278,392,569,312,528,429
CIMPCH-000059,"Кофе Импэшн Гран Крю, 1 кг",Кофе,IMPASSION_R18,Зерновой,220,271,360,402,390,357,362,584,454,570,449,482,453,409,574,715,696,693,716,786,764,873,690
CIMPCH-000060,"Кофе Импэшн Лайф, зерно, 1 кг",Кофе,IMPASSION_R18,Зерновой,612,696,852,794,911,755,721,947,784,980,773,1081,731,939,914,968,1028,992,866,914,1418,1215,1222
CIMPCH-000061,"Кофе Импэшн Фреш, зерно, 1 кг",Кофе,IMPASSION_R18,Зерновой,1023,1022,1542,1461,1271,1246,1125,1506,1738,1508,1799,2097,1422,1650,1972,1945,2037,1707,1809,1958,2010,2765,1735
CIMPCH-000062,"Кофе Импэшн Бэйсик, зерно, 1 кг",Кофе,IMPASSION_R18,Зерновой,2633,2908,3878,4128,4219,4748,4560,5358,5519,6070,5835,6726,4218,5405,5898,7167,5324,6185,6612,7121,6681,7482,6604
CIMPCH-000067,Кофе Обломов Смесь №1 Бразилия - Эфиопия 0.25 кг,Кофе,СТМ,Зерновой,0,0,18,0,0,0,0,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0
CIMPCH-000068,Кофе Обломов Смесь №2 Бразилия - Колумбия - Уганда 0.25 кг,Кофе,СТМ,Зерновой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
CIMPCH-000074,"Кофе Импэшн Бэйсик Дарк (темная обжарка), зерно, 1 кг",Кофе,IMPASSION_R18,Зерновой,2796,2563,3104,3902,3496,3704,3541,3845,4218,4306,4755,5043,3537,3155,4153,4182,4399,3120,3517,3772,3896,4047,4208
CIMPCH-000075,"Кофе Оазис (темная обжарка), зерно 1 кг",Кофе,СТМ,Зерновой,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
